experiment,pair_id,model_a,model_b,pair_group,method,fold_records,train_target_cells,test_target_cells,train_near_bi_share,train_bi_gap,train_adjusted_pog_complementarity,train_high_loss_lift_complementarity,train_adjusted_loss_corr_complementarity,train_alignment_c,train_disagreement_d,train_alpha_clipped,train_alpha_lcb_1se,train_alpha_lcb_95,test_alignment_c,test_disagreement_d,test_alpha_clipped,test_pooled_alpha_clipped,test_partner_win_share,method_partner_weight,adjusted_brier,anchor_adjusted_brier,best_single_adjusted_brier,brier_index,gain_vs_anchor,gain_vs_best_single,mean_fold_gain_vs_anchor,mean_fold_gain_vs_best_single,model_adjusted_brier,gain_vs_model,canonical_model_version,model_configuration,primary_configuration
polymarket_model,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),claude,oracle_linear,20,7100,7100,0.9,1.402677255920663,0.003002995295633801,-39.83504394041014,-0.7098895636285442,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.0,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.18591549295774643,0.0,0.07279090800681735,0.07279090800681735,0.07279090800681735,73.02250184774691,0.0,0.0,0.0,0.0,0.0805815869787892,0.09668063467182049,Claude-3-5-Sonnet-20240620,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),claude,partner,20,7100,7100,0.9,1.402677255920663,0.003002995295633801,-39.83504394041014,-0.7098895636285442,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.0,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.18591549295774643,1.0,0.0805815869787892,0.07279090800681735,0.07279090800681735,71.61982459182624,-0.1070281877956818,-0.1070281877956818,-0.10684602872575244,-0.10684602872575244,0.0805815869787892,0.0,Claude-3-5-Sonnet-20240620,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),claude,piecewise_odds,20,7100,7100,0.9,1.402677255920663,0.003002995295633801,-39.83504394041014,-0.7098895636285442,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.0,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.18591549295774643,,0.07404266797487387,0.07279090800681735,0.07279090800681735,72.79381894946033,-0.017196652745962167,-0.017196652745962167,-0.01706962628502845,-0.01706962628502845,0.0805815869787892,0.08114656522756886,Claude-3-5-Sonnet-20240620,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),claude,simple_mean,20,7100,7100,0.9,1.402677255920663,0.003002995295633801,-39.83504394041014,-0.7098895636285442,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.0,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.18591549295774643,0.5,0.07555051269347228,0.07279090800681735,0.07279090800681735,72.51688304035434,-0.03791139253815148,-0.03791139253815148,-0.03783439481762866,-0.03783439481762866,0.0805815869787892,0.06243453962555001,Claude-3-5-Sonnet-20240620,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20240620 (zero shot with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),claude,anchor,20,7690,7690,0.95,1.1661284428430667,0.0021115753446033798,-49.74158710924966,-0.7026559588774366,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.0,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.3784135240572175,0.0,0.0709321357427928,0.0709321357427928,0.0709321357427928,73.3692378794972,0.0,0.0,0.0,0.0,0.07730591959194756,0.08244884586844328,Claude-3-5-Sonnet-20240620,zero shot with freeze values,1
polymarket_model,Claude-3-5-Sonnet-20240620 (zero shot with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),claude,best_single,20,7690,7690,0.95,1.1661284428430667,0.0021115753446033798,-49.74158710924966,-0.7026559588774366,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.0,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.3784135240572175,,0.0709321357427928,0.0709321357427928,0.0709321357427928,73.3692378794972,0.0,0.0,0.0,0.0,0.07730591959194756,0.08244884586844328,Claude-3-5-Sonnet-20240620,zero shot with freeze values,1
polymarket_model,Claude-3-5-Sonnet-20240620 (zero shot with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),claude,cf_directional,20,7690,7690,0.95,1.1661284428430667,0.0021115753446033798,-49.74158710924966,-0.7026559588774366,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.0,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.3784135240572175,,0.07098099821398263,0.0709321357427928,0.0709321357427928,73.36007658401076,-0.0006888622579616148,-0.0006888622579616148,-0.0006927023317041391,-0.0006927023317041391,0.07730591959194756,0.08181677950861294,Claude-3-5-Sonnet-20240620,zero shot with freeze values,1
polymarket_model,Claude-3-5-Sonnet-20240620 (zero shot with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),claude,cf_directional_lcb_1se,20,7690,7690,0.95,1.1661284428430667,0.0021115753446033798,-49.74158710924966,-0.7026559588774366,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.0,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.3784135240572175,,0.0709321357427928,0.0709321357427928,0.0709321357427928,73.3692378794972,0.0,0.0,0.0,0.0,0.07730591959194756,0.08244884586844328,Claude-3-5-Sonnet-20240620,zero shot with freeze values,1
polymarket_model,Claude-3-5-Sonnet-20240620 (zero shot with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),claude,cf_lcb_1se,20,7690,7690,0.95,1.1661284428430667,0.0021115753446033798,-49.74158710924966,-0.7026559588774366,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.0,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.3784135240572175,0.0,0.0709321357427928,0.0709321357427928,0.0709321357427928,73.3692378794972,0.0,0.0,0.0,0.0,0.07730591959194756,0.08244884586844328,Claude-3-5-Sonnet-20240620,zero shot with freeze values,1
polymarket_model,Claude-3-5-Sonnet-20240620 (zero shot with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),claude,cf_lcb_95,20,7690,7690,0.95,1.1661284428430667,0.0021115753446033798,-49.74158710924966,-0.7026559588774366,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.0,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.3784135240572175,0.0,0.0709321357427928,0.0709321357427928,0.0709321357427928,73.3692378794972,0.0,0.0,0.0,0.0,0.07730591959194756,0.08244884586844328,Claude-3-5-Sonnet-20240620,zero shot with freeze values,1
polymarket_model,Claude-3-5-Sonnet-20240620 (zero shot with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),claude,cf_linear,20,7690,7690,0.95,1.1661284428430667,0.0021115753446033798,-49.74158710924966,-0.7026559588774366,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.0,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.3784135240572175,0.00416142000910652,0.07095668903280168,0.0709321357427928,0.0709321357427928,73.36462501085882,-0.00034615184995849237,-0.00034615184995849237,-0.00034808147901650705,-0.00034808147901650705,0.07730591959194756,0.0821312338390091,Claude-3-5-Sonnet-20240620,zero shot with freeze values,1
polymarket_model,Claude-3-5-Sonnet-20240620 (zero shot with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),claude,ec_w0_56,20,7690,7690,0.95,1.1661284428430667,0.0021115753446033798,-49.74158710924966,-0.7026559588774366,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.0,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.3784135240572175,,0.07320984486264367,0.0709321357427928,0.0709321357427928,72.9478437469883,-0.03211110304235128,-0.03211110304235128,-0.031972759454331826,-0.031972759454331826,0.07730591959194756,0.052985266211496525,Claude-3-5-Sonnet-20240620,zero shot with freeze values,1
polymarket_model,Claude-3-5-Sonnet-20240620 (zero shot with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),claude,log_odds_mean,20,7690,7690,0.95,1.1661284428430667,0.0021115753446033798,-49.74158710924966,-0.7026559588774366,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.0,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.3784135240572175,,0.07382381791514868,0.0709321357427928,0.0709321357427928,72.83395209422244,-0.040766884319420583,-0.040766884319420583,-0.04060986131204132,-0.04060986131204132,0.07730591959194756,0.04504314411081127,Claude-3-5-Sonnet-20240620,zero shot with freeze values,1
polymarket_model,Claude-3-5-Sonnet-20240620 (zero shot with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),claude,oracle_directional,20,7690,7690,0.95,1.1661284428430667,0.0021115753446033798,-49.74158710924966,-0.7026559588774366,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.0,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.3784135240572175,,0.07092514002513294,0.0709321357427928,0.0709321357427928,73.37054914453859,9.862550431639214e-05,9.862550431639214e-05,9.822902753545743e-05,9.822902753545743e-05,0.07730591959194756,0.0825393398137556,Claude-3-5-Sonnet-20240620,zero shot with freeze values,1
polymarket_model,Claude-3-5-Sonnet-20240620 (zero shot with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),claude,oracle_linear,20,7690,7690,0.95,1.1661284428430667,0.0021115753446033798,-49.74158710924966,-0.7026559588774366,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.0,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.3784135240572175,0.0030298878268550846,0.0709311372484028,0.0709321357427928,0.0709321357427928,73.36942496740865,1.4076756318516276e-05,1.4076756318516276e-05,1.4020167436574337e-05,1.4020167436574337e-05,0.07730591959194756,0.08246176201244977,Claude-3-5-Sonnet-20240620,zero shot with freeze values,1
polymarket_model,Claude-3-5-Sonnet-20240620 (zero shot with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),claude,partner,20,7690,7690,0.95,1.1661284428430667,0.0021115753446033798,-49.74158710924966,-0.7026559588774366,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.0,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.3784135240572175,1.0,0.07730591959194756,0.0709321357427928,0.0709321357427928,72.20310943665415,-0.08985749241030536,-0.08985749241030536,-0.0896846660018272,-0.0896846660018272,0.07730591959194756,0.0,Claude-3-5-Sonnet-20240620,zero shot with freeze values,1
polymarket_model,Claude-3-5-Sonnet-20240620 (zero shot with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),claude,piecewise_odds,20,7690,7690,0.95,1.1661284428430667,0.0021115753446033798,-49.74158710924966,-0.7026559588774366,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.0,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.3784135240572175,,0.07377214449723887,0.0709321357427928,0.0709321357427928,72.84627275517789,-0.04003839338412463,-0.04003839338412463,-0.03989974498362633,-0.03989974498362633,0.07730591959194756,0.04571157180926644,Claude-3-5-Sonnet-20240620,zero shot with freeze values,1
polymarket_model,Claude-3-5-Sonnet-20240620 (zero shot with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),claude,simple_mean,20,7690,7690,0.95,1.1661284428430667,0.0021115753446033798,-49.74158710924966,-0.7026559588774366,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.0,-0.0015176893368010402,0.003338405175552667,0.00416142000910652,0.0,0.3784135240572175,0.5,0.07328442637348201,0.0709321357427928,0.0709321357427928,72.93236446680206,-0.03316255186815253,-0.03316255186815253,-0.03309051319020573,-0.03309051319020573,0.07730591959194756,0.052020508127872324,Claude-3-5-Sonnet-20240620,zero shot with freeze values,1
polymarket_model,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),claude,anchor,20,4210,4210,1.0,0.15725124103519636,0.001860586061757717,-144.8937385740402,-0.9295967616810576,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.04902759406965308,0.014394436667330566,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.03679646274575725,0.35629453681710216,0.0,0.07114266740087755,0.07114266740087755,0.07103349400895356,73.32895378362535,0.0,-0.0015369283666409887,0.0,-0.0015930445188544003,0.07176914725835974,0.008729097131765385,Claude-3-5-Sonnet-20241022,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),claude,best_single,20,4210,4210,1.0,0.15725124103519636,0.001860586061757717,-144.8937385740402,-0.9295967616810576,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.04902759406965308,0.014394436667330566,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.03679646274575725,0.35629453681710216,,0.07103349400895356,0.07114266740087755,0.07103349400895356,73.34974033421997,0.0015345698427191219,0.0,0.001573610500827485,0.0,0.07176914725835974,0.010250271565271933,Claude-3-5-Sonnet-20241022,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),claude,cf_directional,20,4210,4210,1.0,0.15725124103519636,0.001860586061757717,-144.8937385740402,-0.9295967616810576,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.04902759406965308,0.014394436667330566,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.03679646274575725,0.35629453681710216,,0.07155838360262283,0.07114266740087755,0.07103349400895356,73.25188342121314,-0.005843416010855896,-0.007389325289322054,-0.005759862890347295,-0.007352907409201696,0.07176914725835974,0.0029366888668495633,Claude-3-5-Sonnet-20241022,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),claude,cf_directional_lcb_1se,20,4210,4210,1.0,0.15725124103519636,0.001860586061757717,-144.8937385740402,-0.9295967616810576,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.04902759406965308,0.014394436667330566,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.03679646274575725,0.35629453681710216,,0.07129757727780921,0.07114266740087755,0.07103349400895356,73.30020556003116,-0.0021774538767118266,-0.0037177288339829864,-0.0021445001662693287,-0.003737544685123729,0.07176914725835974,0.006570650461443315,Claude-3-5-Sonnet-20241022,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),claude,cf_lcb_1se,20,4210,4210,1.0,0.15725124103519636,0.001860586061757717,-144.8937385740402,-0.9295967616810576,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.04902759406965308,0.014394436667330566,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.03679646274575725,0.35629453681710216,0.04902759406965308,0.07124886023424014,0.07114266740087755,0.07103349400895356,73.309522207513,-0.001492674329516106,-0.0030318968296762848,-0.0014394051508624022,-0.0030324496697168024,0.07176914725835974,0.007249452501457718,Claude-3-5-Sonnet-20241022,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),claude,cf_lcb_95,20,4210,4210,1.0,0.15725124103519636,0.001860586061757717,-144.8937385740402,-0.9295967616810576,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.04902759406965308,0.014394436667330566,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.03679646274575725,0.35629453681710216,0.014394436667330566,0.07116967523994036,0.07114266740087755,0.07103349400895356,73.32399742800877,-0.0003796292724115886,-0.001917141102050154,-0.00036515761502139814,-0.0019582021338757985,0.07176914725835974,0.00835278168014674,Claude-3-5-Sonnet-20241022,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),claude,cf_linear,20,4210,4210,1.0,0.15725124103519636,0.001860586061757717,-144.8937385740402,-0.9295967616810576,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.04902759406965308,0.014394436667330566,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.03679646274575725,0.35629453681710216,0.24733505603999043,0.07146209109249038,0.07114266740087755,0.07103349400895356,73.26996986439211,-0.00448990322239303,-0.0060337322486599876,-0.004401796516963963,-0.005994841035818364,0.07176914725835974,0.00427838671071285,Claude-3-5-Sonnet-20241022,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),claude,ec_w0_56,20,4210,4210,1.0,0.15725124103519636,0.001860586061757717,-144.8937385740402,-0.9295967616810576,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.04902759406965308,0.014394436667330566,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.03679646274575725,0.35629453681710216,,0.07050857635970487,0.07114266740087755,0.07103349400895356,73.44919029205245,0.008912950052880056,0.007389720252005792,0.008981156563870987,0.007417126481129093,0.07176914725835974,0.017564245177903278,Claude-3-5-Sonnet-20241022,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),claude,log_odds_mean,20,4210,4210,1.0,0.15725124103519636,0.001860586061757717,-144.8937385740402,-0.9295967616810576,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.04902759406965308,0.014394436667330566,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.03679646274575725,0.35629453681710216,,0.07119754051984155,0.07114266740087755,0.07103349400895356,73.31936014114848,-0.0007713109582299047,-0.002309424774562098,-0.0006894167838838644,-0.00226649395806144,0.07176914725835974,0.007964519021808664,Claude-3-5-Sonnet-20241022,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),claude,oracle_directional,20,4210,4210,1.0,0.15725124103519636,0.001860586061757717,-144.8937385740402,-0.9295967616810576,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.04902759406965308,0.014394436667330566,2.4883491686460968e-05,0.0006762468408551067,0.24733505603999043,0.03679646274575725,0.35629453681710216,,0.0707611807381687,0.07114266740087755,0.07103349400895356,73.40090270080367,0.005362276628724506,0.00383358969714398,0.0053971861945444986,0.0038290850802593897,0.07176914725835974,0.01404456592695036,Claude-3-5-Sonnet-20241022,scratchpad with freeze values,0
