canonical_model_version,exact_model_name,model_organization,model_configuration,selected,selection_rank,selection_reason,n_scored_rows,n_dates,date_min,date_max
Claude-3-Haiku-20240307,Claude-3-Haiku-20240307 (zero shot),Anthropic,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,6432,5,2024-07-21,2025-06-22
Claude-3-Haiku-20240307,Claude-3-Haiku-20240307 (zero shot with freeze values),Anthropic,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,6432,5,2024-07-21,2025-06-22
Claude-3-Haiku-20240307,Claude-3-Haiku-20240307 (scratchpad),Anthropic,scratchpad,0,3,same_model_version_nonrepresentative_configuration,6432,5,2024-07-21,2025-06-22
Claude-3-Haiku-20240307,Claude-3-Haiku-20240307 (scratchpad with news),Anthropic,scratchpad with news,0,4,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Claude-3-Haiku-20240307,Claude-3-Haiku-20240307 (scratchpad with freeze values),Anthropic,scratchpad with freeze values,0,5,same_model_version_nonrepresentative_configuration,6432,5,2024-07-21,2025-06-22
Claude-3-Haiku-20240307,Claude-3-Haiku-20240307 (scratchpad with news with freeze values),Anthropic,scratchpad with news with freeze values,0,6,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Claude-3-Opus-20240229,Claude-3-Opus-20240229 (zero shot),Anthropic,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,6432,5,2024-07-21,2025-06-22
Claude-3-Opus-20240229,Claude-3-Opus-20240229 (zero shot with freeze values),Anthropic,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,6432,5,2024-07-21,2025-06-22
Claude-3-Opus-20240229,Claude-3-Opus-20240229 (scratchpad),Anthropic,scratchpad,0,3,same_model_version_nonrepresentative_configuration,6432,5,2024-07-21,2025-06-22
Claude-3-Opus-20240229,Claude-3-Opus-20240229 (scratchpad with news),Anthropic,scratchpad with news,0,4,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Claude-3-Opus-20240229,Claude-3-Opus-20240229 (scratchpad with freeze values),Anthropic,scratchpad with freeze values,0,5,same_model_version_nonrepresentative_configuration,6432,5,2024-07-21,2025-06-22
Claude-3-Opus-20240229,Claude-3-Opus-20240229 (scratchpad with news with freeze values),Anthropic,scratchpad with news with freeze values,0,6,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Claude-Haiku-4-5-20251001,Claude-Haiku-4-5-20251001 (zero shot),Anthropic,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,4065,5,2025-10-26,2025-12-21
Claude-Haiku-4-5-20251001,Claude-Haiku-4-5-20251001 (zero shot with freeze values),Anthropic,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,4065,5,2025-10-26,2025-12-21
Claude-Opus-4-1-20250805,Claude-Opus-4-1-20250805 (zero shot),Anthropic,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,6485,7,2025-08-17,2025-12-21
Claude-Opus-4-1-20250805,Claude-Opus-4-1-20250805 (zero shot with freeze values),Anthropic,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,6485,7,2025-08-17,2025-12-21
Claude-Opus-4-1-20250805,Claude-Opus-4-1-20250805 (scratchpad),Anthropic,scratchpad,0,3,same_model_version_nonrepresentative_configuration,1209,1,2025-08-31,2025-08-31
Claude-Opus-4-1-20250805,Claude-Opus-4-1-20250805 (scratchpad with freeze values),Anthropic,scratchpad with freeze values,0,4,same_model_version_nonrepresentative_configuration,1209,1,2025-08-31,2025-08-31
Claude-Opus-4-20250514,Claude-Opus-4-20250514 (zero shot),Anthropic,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,1234,1,2025-08-03,2025-08-03
Claude-Opus-4-20250514,Claude-Opus-4-20250514 (zero shot with freeze values),Anthropic,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,1234,1,2025-08-03,2025-08-03
Claude-Opus-4-20250514,Claude-Opus-4-20250514 (scratchpad),Anthropic,scratchpad,0,3,same_model_version_nonrepresentative_configuration,1234,1,2025-08-03,2025-08-03
Claude-Opus-4-20250514,Claude-Opus-4-20250514 (scratchpad with freeze values),Anthropic,scratchpad with freeze values,0,4,same_model_version_nonrepresentative_configuration,1234,1,2025-08-03,2025-08-03
Claude-Opus-4-5-20251101,Claude-Opus-4-5-20251101 (zero shot),Anthropic,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,1628,2,2025-12-07,2025-12-21
Claude-Opus-4-5-20251101,Claude-Opus-4-5-20251101 (zero shot with freeze values),Anthropic,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,1628,2,2025-12-07,2025-12-21
Claude-Sonnet-4-20250514,Claude-Sonnet-4-20250514 (zero shot),Anthropic,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,6091,6,2025-08-03,2025-11-23
Claude-Sonnet-4-20250514,Claude-Sonnet-4-20250514 (zero shot with freeze values),Anthropic,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,6091,6,2025-08-03,2025-11-23
Claude-Sonnet-4-20250514,Claude-Sonnet-4-20250514 (scratchpad),Anthropic,scratchpad,0,3,same_model_version_nonrepresentative_configuration,2443,2,2025-08-03,2025-08-31
Claude-Sonnet-4-20250514,Claude-Sonnet-4-20250514 (scratchpad with freeze values),Anthropic,scratchpad with freeze values,0,4,same_model_version_nonrepresentative_configuration,2443,2,2025-08-03,2025-08-31
Claude-Sonnet-4-5-20250929,Claude-Sonnet-4-5-20250929 (zero shot),Anthropic,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,4065,5,2025-10-26,2025-12-21
Claude-Sonnet-4-5-20250929,Claude-Sonnet-4-5-20250929 (zero shot with freeze values),Anthropic,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,4065,5,2025-10-26,2025-12-21
DeepSeek-R1,DeepSeek-R1 (zero shot),DeepSeek,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,7101,5,2025-03-02,2025-04-27
DeepSeek-R1,DeepSeek-R1 (zero shot with freeze values),DeepSeek,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,7101,5,2025-03-02,2025-04-27
DeepSeek-R1,DeepSeek-R1 (scratchpad),DeepSeek,scratchpad,0,3,same_model_version_nonrepresentative_configuration,7101,5,2025-03-02,2025-04-27
DeepSeek-R1,DeepSeek-R1 (scratchpad with freeze values),DeepSeek,scratchpad with freeze values,0,4,same_model_version_nonrepresentative_configuration,7101,5,2025-03-02,2025-04-27
DeepSeek-V3,DeepSeek-V3 (zero shot),DeepSeek,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,7101,5,2025-03-02,2025-04-27
DeepSeek-V3,DeepSeek-V3 (zero shot with freeze values),DeepSeek,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,7101,5,2025-03-02,2025-04-27
DeepSeek-V3,DeepSeek-V3 (scratchpad),DeepSeek,scratchpad,0,3,same_model_version_nonrepresentative_configuration,7101,5,2025-03-02,2025-04-27
DeepSeek-V3,DeepSeek-V3 (scratchpad with freeze values),DeepSeek,scratchpad with freeze values,0,4,same_model_version_nonrepresentative_configuration,7101,5,2025-03-02,2025-04-27
DeepSeek-V3.1,DeepSeek-V3.1 (zero shot),DeepSeek,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,4065,5,2025-10-26,2025-12-21
DeepSeek-V3.1,DeepSeek-V3.1 (zero shot with freeze values),DeepSeek,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,4065,5,2025-10-26,2025-12-21
GLM-4.5-Air-FP8,GLM-4.5-Air-FP8 (zero shot),Z.ai,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,2830,3,2025-08-31,2025-11-09
GLM-4.5-Air-FP8,GLM-4.5-Air-FP8 (zero shot with freeze values),Z.ai,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,2830,3,2025-08-31,2025-11-09
GLM-4.5-Air-FP8,GLM-4.5-Air-FP8 (scratchpad),Z.ai,scratchpad,0,3,same_model_version_nonrepresentative_configuration,1209,1,2025-08-31,2025-08-31
GLM-4.5-Air-FP8,GLM-4.5-Air-FP8 (scratchpad with freeze values),Z.ai,scratchpad with freeze values,0,4,same_model_version_nonrepresentative_configuration,1209,1,2025-08-31,2025-08-31
GLM-4.6,GLM-4.6 (zero shot),Z.ai,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,2444,3,2025-11-23,2025-12-21
GLM-4.6,GLM-4.6 (zero shot with freeze values),Z.ai,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,2444,3,2025-11-23,2025-12-21
GPT-3.5-Turbo-0125,GPT-3.5-Turbo-0125 (zero shot),OpenAI,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,1507,1,2024-07-21,2024-07-21
GPT-3.5-Turbo-0125,GPT-3.5-Turbo-0125 (zero shot with freeze values),OpenAI,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
GPT-3.5-Turbo-0125,GPT-3.5-Turbo-0125 (scratchpad),OpenAI,scratchpad,0,3,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
GPT-3.5-Turbo-0125,GPT-3.5-Turbo-0125 (scratchpad with freeze values),OpenAI,scratchpad with freeze values,0,4,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
GPT-4-0613,GPT-4-0613 (zero shot),OpenAI,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,1507,1,2024-07-21,2024-07-21
GPT-4-0613,GPT-4-0613 (zero shot with freeze values),OpenAI,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
GPT-4-0613,GPT-4-0613 (scratchpad),OpenAI,scratchpad,0,3,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
GPT-4-0613,GPT-4-0613 (scratchpad with freeze values),OpenAI,scratchpad with freeze values,0,4,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
GPT-4-Turbo-2024-04-09,GPT-4-Turbo-2024-04-09 (zero shot),OpenAI,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,6432,5,2024-07-21,2025-06-22
GPT-4-Turbo-2024-04-09,GPT-4-Turbo-2024-04-09 (zero shot with freeze values),OpenAI,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,6432,5,2024-07-21,2025-06-22
GPT-4-Turbo-2024-04-09,GPT-4-Turbo-2024-04-09 (scratchpad),OpenAI,scratchpad,0,3,same_model_version_nonrepresentative_configuration,6432,5,2024-07-21,2025-06-22
GPT-4-Turbo-2024-04-09,GPT-4-Turbo-2024-04-09 (scratchpad with news),OpenAI,scratchpad with news,0,4,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
GPT-4-Turbo-2024-04-09,GPT-4-Turbo-2024-04-09 (scratchpad with freeze values),OpenAI,scratchpad with freeze values,0,5,same_model_version_nonrepresentative_configuration,6432,5,2024-07-21,2025-06-22
GPT-4-Turbo-2024-04-09,GPT-4-Turbo-2024-04-09 (scratchpad with news with freeze values),OpenAI,scratchpad with news with freeze values,0,6,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
GPT-4.1-2025-04-14,GPT-4.1-2025-04-14 (zero shot),OpenAI,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,11445,11,2025-04-27,2025-12-21
GPT-4.1-2025-04-14,GPT-4.1-2025-04-14 (zero shot with freeze values),OpenAI,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,11445,11,2025-04-27,2025-12-21
GPT-4.1-2025-04-14,GPT-4.1-2025-04-14 (scratchpad),OpenAI,scratchpad,0,3,same_model_version_nonrepresentative_configuration,6171,5,2025-04-27,2025-08-17
GPT-4.1-2025-04-14,GPT-4.1-2025-04-14 (scratchpad with freeze values),OpenAI,scratchpad with freeze values,0,4,same_model_version_nonrepresentative_configuration,6171,5,2025-04-27,2025-08-17
GPT-4.5-Preview-2025-02-27,GPT-4.5-Preview-2025-02-27 (zero shot),OpenAI,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,3066,2,2025-03-02,2025-03-16
GPT-4.5-Preview-2025-02-27,GPT-4.5-Preview-2025-02-27 (zero shot with freeze values),OpenAI,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,3066,2,2025-03-02,2025-03-16
GPT-4.5-Preview-2025-02-27,GPT-4.5-Preview-2025-02-27 (scratchpad),OpenAI,scratchpad,0,3,same_model_version_nonrepresentative_configuration,3066,2,2025-03-02,2025-03-16
GPT-4.5-Preview-2025-02-27,GPT-4.5-Preview-2025-02-27 (scratchpad with freeze values),OpenAI,scratchpad with freeze values,0,4,same_model_version_nonrepresentative_configuration,3066,2,2025-03-02,2025-03-16
GPT-4o,GPT-4o (zero shot),OpenAI,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,1507,1,2024-07-21,2024-07-21
GPT-4o,GPT-4o (zero shot with freeze values),OpenAI,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
GPT-4o,GPT-4o (scratchpad),OpenAI,scratchpad,0,3,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
GPT-4o,GPT-4o (scratchpad with news),OpenAI,scratchpad with news,0,4,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
GPT-4o,GPT-4o (scratchpad with freeze values),OpenAI,scratchpad with freeze values,0,5,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
GPT-4o,GPT-4o (scratchpad with SECOND news),OpenAI,scratchpad with SECOND news,0,6,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
GPT-4o,GPT-4o (scratchpad with news with freeze values),OpenAI,scratchpad with news with freeze values,0,7,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
GPT-4o-2024-05-13,GPT-4o-2024-05-13 (zero shot),OpenAI,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,8960,7,2025-03-30,2025-06-22
GPT-4o-2024-05-13,GPT-4o-2024-05-13 (zero shot with freeze values),OpenAI,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,8960,7,2025-03-30,2025-06-22
GPT-4o-2024-05-13,GPT-4o-2024-05-13 (scratchpad),OpenAI,scratchpad,0,3,same_model_version_nonrepresentative_configuration,8960,7,2025-03-30,2025-06-22
GPT-4o-2024-05-13,GPT-4o-2024-05-13 (scratchpad with freeze values),OpenAI,scratchpad with freeze values,0,4,same_model_version_nonrepresentative_configuration,8960,7,2025-03-30,2025-06-22
GPT-4o-2024-11-20,GPT-4o-2024-11-20 (zero shot with web search),OpenAI,zero shot with web search,1,1,preferred_outcome_blind_zero_shot_configuration,1532,1,2025-03-16,2025-03-16
GPT-4o-2024-11-20,GPT-4o-2024-11-20 (zero shot with freeze values with web search),OpenAI,zero shot with freeze values with web search,0,2,same_model_version_nonrepresentative_configuration,1532,1,2025-03-16,2025-03-16
GPT-4o-2024-11-20,GPT-4o-2024-11-20 (scratchpad with web search),OpenAI,scratchpad with web search,0,3,same_model_version_nonrepresentative_configuration,1532,1,2025-03-16,2025-03-16
GPT-4o-2024-11-20,GPT-4o-2024-11-20 (scratchpad with freeze values with web search),OpenAI,scratchpad with freeze values with web search,0,4,same_model_version_nonrepresentative_configuration,1532,1,2025-03-16,2025-03-16
GPT-5-2025-08-07,GPT-5-2025-08-07 (zero shot),OpenAI,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,2830,3,2025-08-31,2025-11-09
GPT-5-2025-08-07,GPT-5-2025-08-07 (zero shot with freeze values),OpenAI,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,2830,3,2025-08-31,2025-11-09
GPT-5-Mini-2025-08-07,GPT-5-Mini-2025-08-07 (zero shot),OpenAI,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,5274,6,2025-08-31,2025-12-21
GPT-5-Mini-2025-08-07,GPT-5-Mini-2025-08-07 (zero shot with freeze values),OpenAI,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,5274,6,2025-08-31,2025-12-21
GPT-5-Nano-2025-08-07,GPT-5-Nano-2025-08-07 (zero shot),OpenAI,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,5274,6,2025-08-31,2025-12-21
GPT-5-Nano-2025-08-07,GPT-5-Nano-2025-08-07 (zero shot with freeze values),OpenAI,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,5274,6,2025-08-31,2025-12-21
GPT-5.1-2025-11-13,GPT-5.1-2025-11-13 (zero shot),OpenAI,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,2444,3,2025-11-23,2025-12-21
GPT-5.1-2025-11-13,GPT-5.1-2025-11-13 (zero shot with freeze values),OpenAI,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,2444,3,2025-11-23,2025-12-21
Gemini-1.5-Flash,Gemini-1.5-Flash (zero shot),Google,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,1507,1,2024-07-21,2024-07-21
Gemini-1.5-Flash,Gemini-1.5-Flash (zero shot with freeze values),Google,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Gemini-1.5-Flash,Gemini-1.5-Flash (scratchpad),Google,scratchpad,0,3,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Gemini-1.5-Flash,Gemini-1.5-Flash (scratchpad with news),Google,scratchpad with news,0,4,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Gemini-1.5-Flash,Gemini-1.5-Flash (scratchpad with freeze values),Google,scratchpad with freeze values,0,5,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Gemini-1.5-Flash,Gemini-1.5-Flash (scratchpad with news with freeze values),Google,scratchpad with news with freeze values,0,6,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Gemini-1.5-Pro,Gemini-1.5-Pro (zero shot),Google,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,1507,1,2024-07-21,2024-07-21
Gemini-1.5-Pro,Gemini-1.5-Pro (zero shot with freeze values),Google,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Gemini-1.5-Pro,Gemini-1.5-Pro (scratchpad),Google,scratchpad,0,3,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Gemini-1.5-Pro,Gemini-1.5-Pro (scratchpad with news),Google,scratchpad with news,0,4,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Gemini-1.5-Pro,Gemini-1.5-Pro (scratchpad with freeze values),Google,scratchpad with freeze values,0,5,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Gemini-1.5-Pro,Gemini-1.5-Pro (scratchpad with news with freeze values),Google,scratchpad with news with freeze values,0,6,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Gemini-2.0-Flash-Lite-001,Gemini-2.0-Flash-Lite-001 (zero shot),Google,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,2773,2,2025-03-30,2025-04-13
Gemini-2.0-Flash-Lite-001,Gemini-2.0-Flash-Lite-001 (zero shot with freeze values),Google,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,2773,2,2025-03-30,2025-04-13
Gemini-2.0-Flash-Lite-001,Gemini-2.0-Flash-Lite-001 (scratchpad),Google,scratchpad,0,3,same_model_version_nonrepresentative_configuration,2773,2,2025-03-30,2025-04-13
Gemini-2.0-Flash-Lite-001,Gemini-2.0-Flash-Lite-001 (scratchpad with freeze values),Google,scratchpad with freeze values,0,4,same_model_version_nonrepresentative_configuration,2773,2,2025-03-30,2025-04-13
Gemini-2.5-Flash,Gemini-2.5-Flash (zero shot),Google,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,5274,6,2025-08-31,2025-12-21
Gemini-2.5-Flash,Gemini-2.5-Flash (zero shot with freeze values),Google,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,5274,6,2025-08-31,2025-12-21
Gemini-2.5-Flash-Preview-04-17,Gemini-2.5-Flash-Preview-04-17 (zero shot),Google,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,1262,1,2025-04-27,2025-04-27
Gemini-2.5-Flash-Preview-04-17,Gemini-2.5-Flash-Preview-04-17 (zero shot with freeze values),Google,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,1262,1,2025-04-27,2025-04-27
Gemini-2.5-Flash-Preview-04-17,Gemini-2.5-Flash-Preview-04-17 (scratchpad),Google,scratchpad,0,3,same_model_version_nonrepresentative_configuration,1262,1,2025-04-27,2025-04-27
Gemini-2.5-Flash-Preview-04-17,Gemini-2.5-Flash-Preview-04-17 (scratchpad with freeze values),Google,scratchpad with freeze values,0,4,same_model_version_nonrepresentative_configuration,1262,1,2025-04-27,2025-04-27
Gemini-2.5-Pro,Gemini-2.5-Pro (zero shot),Google,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,5274,6,2025-08-31,2025-12-21
Gemini-2.5-Pro,Gemini-2.5-Pro (zero shot with freeze values),Google,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,5274,6,2025-08-31,2025-12-21
Gemini-2.5-Pro-Exp-03-25,Gemini-2.5-Pro-Exp-03-25 (zero shot),Google,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,2773,2,2025-03-30,2025-04-13
Gemini-2.5-Pro-Exp-03-25,Gemini-2.5-Pro-Exp-03-25 (zero shot with freeze values),Google,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,2773,2,2025-03-30,2025-04-13
Gemini-2.5-Pro-Exp-03-25,Gemini-2.5-Pro-Exp-03-25 (scratchpad),Google,scratchpad,0,3,same_model_version_nonrepresentative_configuration,2773,2,2025-03-30,2025-04-13
Gemini-2.5-Pro-Exp-03-25,Gemini-2.5-Pro-Exp-03-25 (scratchpad with freeze values),Google,scratchpad with freeze values,0,4,same_model_version_nonrepresentative_configuration,2773,2,2025-03-30,2025-04-13
Gemini-2.5-Pro-Preview-03-25,Gemini-2.5-Pro-Preview-03-25 (zero shot),Google,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,1262,1,2025-04-27,2025-04-27
Gemini-2.5-Pro-Preview-03-25,Gemini-2.5-Pro-Preview-03-25 (zero shot with freeze values),Google,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,1262,1,2025-04-27,2025-04-27
Gemini-2.5-Pro-Preview-03-25,Gemini-2.5-Pro-Preview-03-25 (scratchpad),Google,scratchpad,0,3,same_model_version_nonrepresentative_configuration,1262,1,2025-04-27,2025-04-27
Gemini-2.5-Pro-Preview-03-25,Gemini-2.5-Pro-Preview-03-25 (scratchpad with freeze values),Google,scratchpad with freeze values,0,4,same_model_version_nonrepresentative_configuration,1262,1,2025-04-27,2025-04-27
Gemini-3-Pro-Preview,Gemini-3-Pro-Preview (zero shot),Google,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,2444,3,2025-11-23,2025-12-21
Gemini-3-Pro-Preview,Gemini-3-Pro-Preview (zero shot with freeze values),Google,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,2444,3,2025-11-23,2025-12-21
Grok-4-0709,Grok-4-0709 (zero shot),xAI,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,4065,5,2025-10-26,2025-12-21
